Week,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9,part_10,part_11,part_12,part_13,part_14,part_15,part_16,part_17,part_18,part_19,part_20,part_21,part_22,part_23,part_24,part_25,part_26
5/21/17 0:00,1321,1315,1245,0,1720,691,609,574,623,307,457,325,285,268,508,303,506,96,381,298,0,19,229,168,230,18
5/28/17 0:00,1305,1297,1260,0,1759,675,592,561,631,307,485,352,281,267,504,311,552,154,367,294,0,19,228,161,230,18
6/4/17 0:00,1310,1303,1285,0,1782,670,593,554,648,321,498,361,281,272,506,368,590,235,369,293,0,23,229,161,233,22
6/11/17 0:00,1322,1320,1301,0,1812,679,613,557,669,336,509,357,284,274,518,442,635,288,381,292,0,25,230,160,237,25
6/18/17 0:00,1309,1310,1285,0,1848,684,628,564,678,327,516,348,281,265,529,473,681,272,382,287,0,20,229,157,237,22
6/25/17 0:00,1270,1268,1244,0,1873,676,624,568,672,287,515,340,267,247,527,444,707,198,368,281,0,10,225,154,234,12
7/2/17 0:00,1242,1232,1216,0,1880,665,612,574,664,240,505,335,250,236,516,397,705,115,351,283,0,0,225,158,234,2
7/9/17 0:00,1256,1239,1227,0,1885,672,617,587,672,222,496,335,241,243,512,376,689,65,350,296,0,0,231,167,240,0
7/16/17 0:00,1297,1279,1259,0,1907,694,642,603,697,243,496,336,244,258,520,392,682,58,365,311,0,0,240,171,250,0
7/23/17 0:00,1316,1302,1270,0,1944,709,665,607,723,286,501,334,251,262,534,423,692,71,381,313,0,0,244,166,254,0
7/30/17 0:00,1291,1283,1249,0,1975,702,669,599,734,324,504,326,253,251,540,447,707,82,386,303,0,0,240,162,251,0
8/6/17 0:00,1254,1247,1228,0,1985,685,659,588,735,345,502,319,252,239,540,460,714,82,383,294,0,0,234,166,247,0
8/13/17 0:00,1248,1239,1243,0,1982,680,655,590,734,351,503,316,256,243,539,463,715,76,385,299,0,0,234,179,247,0
8/20/17 0:00,1276,1262,1282,0,1992,690,665,602,734,355,511,318,265,261,542,460,714,77,395,316,0,0,241,188,252,0
8/27/17 0:00,1300,1283,1299,0,2042,697,676,608,721,364,518,315,274,271,540,462,715,104,402,329,0,0,249,184,255,0
9/3/17 0:00,1294,1279,1275,0,2147,687,674,601,691,388,512,303,278,262,527,484,715,167,397,327,0,0,253,174,254,0
